mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_stft_mean,spectral_contrast_mean,tonnetz_mean,tempo,file
-68.229546,88.21543,16.472057,20.567812,14.663532,12.793869,-4.7092247,2.7949357,-5.6658416,0.85160035,-1.048563,-0.5172744,-4.472118,0.46941733,22.516130263705325,0.014860545814454984,129.19921875,"Koorosh Ft Sijal , Hiphopologist & Gdaal - First Class (Remix)"
-110.666985,102.19579,-4.8426585,14.504416,6.2253175,4.2413864,-4.2241273,7.8951955,-2.6390452,3.938989,-0.14487137,-2.0481098,-4.3379703,0.37136912,22.85331564824249,0.014526709020985277,112.34714673913044,Doe Sob - Wantons
-118.97665,94.65729,11.036698,11.116827,3.7427304,5.1173,-2.128131,-1.923095,-6.8735437,-3.0759437,-5.9917417,-1.8836776,-4.336048,0.35000157,24.494229809410943,-0.01813405163684861,135.99917763157896,BUSY BODY (feat. Koorosh)
-110.00864,98.44604,18.48319,9.276606,8.532236,11.836014,0.14289716,5.702971,-0.30699766,4.981759,-1.371497,3.9351265,-2.2341082,0.416473,22.757982060606984,0.039333849753140616,123.046875,Jigh (Ft Hoomaan)
-99.583336,100.91139,9.917523,9.99378,9.789586,4.373449,0.97801733,4.6010904,-5.5730658,3.336091,-2.6962419,0.61825144,-1.1014785,0.4758361,22.369829460684365,0.013294618804426048,112.34714673913044,Vinak - Bede F
-183.59799,105.539154,29.13683,31.179415,15.436187,12.952858,-4.754966,0.20314345,-5.358788,-1.6813538,-1.907792,4.310587,2.1726687,0.38904038,24.39228488488753,0.03532598452297102,99.38401442307692,Jealous (Remix by Roomokhiaa)
-48.21179,99.36376,12.294743,16.392624,13.500258,7.5323505,5.089688,7.7721577,-3.1363466,7.397102,-2.620887,3.9116583,1.2830896,0.41825375,22.44204515499323,-0.045552721609006114,117.45383522727273,"Alireza JJ, Sijal & Nassim - Ki Khoobe Ki Bad (ft. Behzad Leito, Sami Low & AFX)"
-69.03566,90.49938,4.569719,1.7722143,-5.3095574,13.0049305,-8.324041,4.463366,-3.893309,2.8633482,-1.472752,2.9022405,-0.40841228,0.4071774,23.08845325933439,0.010859759570133135,123.046875,Shabaye Tehran (Ft Farshid)
-54.642868,94.37224,-0.3196155,20.2626,14.32472,12.374959,-5.8670025,7.4413905,-4.824569,4.196471,-3.55829,2.0386424,0.94414157,0.42366096,21.971237490070003,0.02620059675090528,95.703125,Too Cheshmat 🦢☁️ - Hoomaan
-132.97375,85.221054,28.884274,14.183377,11.203987,11.300363,-4.3470306,1.7464919,-10.465167,1.0522541,-2.1528318,3.2013261,-1.8797377,0.42351967,22.751441749843313,-0.012082378482419179,129.19921875,Age Bere (feat. Hoomaan)
